abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.035417,1.140323,0.552724,182.633020,182.637417,0.032178,0.165798,-0.246377,-0.006303,27.227850,-1.099511,-0.788214,382.938377,382.940767,0.022197,-0.106796,0.090318,0.097979,56.422914
0.035833,1.421650,0.431560,184.527551,184.533532,0.031411,0.161136,-0.246944,-0.006508,27.304583,-1.259478,-0.948875,383.096176,383.099422,0.021777,-0.106299,0.090832,0.098360,56.582493
0.036250,1.341425,0.672997,184.213750,184.219863,0.030766,0.163144,-0.247489,-0.006783,27.381361,-1.259541,-0.908847,382.618042,382.621195,0.022413,-0.105712,0.091365,0.098739,56.741984
0.036667,1.060352,0.834082,184.212282,184.217222,0.033004,0.164894,-0.247973,-0.007092,27.458149,-1.379657,-0.868650,383.097488,383.100957,0.022484,-0.107461,0.091931,0.099120,56.901553
0.037083,1.381442,0.431814,184.689097,184.694769,0.031933,0.161891,-0.248504,-0.007319,27.535048,-1.379657,-1.109663,382.781075,382.785169,0.022330,-0.106940,0.092512,0.099560,57.061089
0.037500,1.060099,0.713300,184.371871,184.376298,0.031357,0.164490,-0.248965,-0.007586,27.611859,-1.459546,-1.029269,383.096001,383.100164,0.022497,-0.107150,0.093098,0.099983,57.220668
0.037917,1.020018,0.552342,183.898001,183.901659,0.032712,0.163453,-0.249415,-0.007819,27.688472,-1.219565,-0.868693,382.778946,382.781874,0.023002,-0.107259,0.093636,0.100368,57.380225
0.038333,1.341552,0.431687,183.265997,183.271416,0.032735,0.163448,-0.249944,-0.008001,27.764964,-1.419570,-1.029269,383.409477,383.413487,0.022301,-0.106487,0.094208,0.100780,57.539837
0.038750,1.220739,0.351335,184.526566,184.530938,0.032186,0.162355,-0.250461,-0.008156,27.841763,-1.339681,-0.948960,381.994690,381.998218,0.022632,-0.107901,0.094791,0.101175,57.699155
0.039167,1.220929,0.391256,184.529017,184.533471,0.031827,0.161145,-0.250955,-0.008313,27.918562,-1.619575,-0.868650,382.782867,382.787279,0.021845,-0.106972,0.095430,0.101557,57.858614
0.039583,1.020018,0.351463,183.266979,183.270155,0.032463,0.164074,-0.251400,-0.008477,27.995033,-1.379468,-1.069509,383.096832,383.100809,0.021965,-0.106572,0.096033,0.101977,58.018205
0.040000,1.100243,0.552342,183.582248,183.586376,0.033468,0.164335,-0.251864,-0.008690,28.071569,-1.539560,-0.908890,382.940170,382.944344,0.021739,-0.106779,0.096646,0.102345,58.177818
0.040417,1.261137,0.512166,184.529998,184.535018,0.032893,0.161706,-0.252375,-0.008915,28.148303,-1.299705,-0.587398,383.570213,383.572865,0.022187,-0.107223,0.097205,0.102629,58.337563
0.040833,1.220739,0.632566,183.266001,183.271158,0.033490,0.165802,-0.252901,-0.009164,28.224752,-1.299768,-0.828411,383.096512,383.099612,0.021955,-0.106603,0.097766,0.102935,58.497175
0.041250,1.421777,0.552724,183.266002,183.272350,0.031626,0.164020,-0.253465,-0.009397,28.301189,-1.579788,-0.506919,382.465309,382.468908,0.022549,-0.107109,0.098391,0.103185,58.656525
0.041667,1.220866,0.511912,184.371870,184.376623,0.031671,0.165145,-0.253980,-0.009608,28.377901,-1.379594,-0.748144,381.679413,381.682639,0.021791,-0.107149,0.098982,0.103494,58.815689
0.042083,1.100116,0.432196,183.898487,183.902285,0.031967,0.165292,-0.254458,-0.009793,28.454581,-1.419318,-0.949002,382.780594,382.784402,0.021645,-0.106098,0.099576,0.103878,58.975116
0.042500,1.260819,0.431687,184.213750,184.218570,0.031510,0.162010,-0.254983,-0.009987,28.531413,-1.499647,-0.989115,382.940338,382.944552,0.022251,-0.107344,0.100204,0.104268,59.134630
0.042917,1.421713,0.632694,185.634898,185.641420,0.034260,0.160408,-0.255553,-0.010234,28.608597,-1.619701,-0.707947,382.466927,382.471011,0.021866,-0.107078,0.100854,0.104602,59.294002
0.043333,1.261010,0.592645,184.688612,184.693868,0.032325,0.163042,-0.256076,-0.010475,28.685517,-1.379657,-0.989157,382.149078,382.152849,0.022022,-0.106265,0.101465,0.104992,59.453330
0.043750,1.060162,0.471863,183.266003,183.269677,0.032813,0.164643,-0.256545,-0.010667,28.762010,-1.659677,-0.949044,383.253647,383.258415,0.022254,-0.106688,0.102131,0.105387,59.612964
0.044167,1.261010,0.270984,183.741837,183.746363,0.032492,0.162770,-0.257048,-0.010813,28.838514,-1.579536,-0.908678,383.571365,383.575694,0.022051,-0.107181,0.102795,0.105783,59.772643
0.044583,1.140450,0.552215,183.424617,183.428993,0.032222,0.162370,-0.257554,-0.011021,28.915039,-1.579788,-1.109748,381.838188,381.843069,0.021895,-0.107489,0.103448,0.106186,59.931731
0.045000,1.462111,0.512039,184.528527,184.535030,0.031398,0.163508,-0.258138,-0.011234,28.991806,-1.499647,-0.466849,379.942520,379.945767,0.022516,-0.106949,0.104072,0.106459,60.090348
0.045417,1.421586,0.472372,183.897997,183.904098,0.032238,0.164078,-0.258717,-0.011442,29.068507,-1.419570,-0.949044,382.468414,382.472226,0.022526,-0.107914,0.104672,0.106829,60.249567
0.045833,1.180531,0.592391,184.371385,184.376116,0.031325,0.162726,-0.259242,-0.011661,29.145273,-1.459546,-1.069509,382.938377,382.942652,0.022246,-0.106758,0.105303,0.107261,60.409048
